caldt,vwretd,vwretx,ewretd,ewretx,totval,totcnt,usdval,usdcnt,spindx,sprtrn
2001/06/19,0.003493,0.003484,0.002024,0.001996,10769796400.00,500,10732400400.00,500,1212.58,0.003434
2001/06/20,0.008745,0.008706,0.005067,0.005015,10863555200.00,500,10769796400.00,500,1223.14,0.008709
2001/06/21,0.011599,0.011578,0.006580,0.006534,10989330100.00,500,10863555200.00,500,1237.04,0.011364
2001/06/22,-0.009653,-0.009655,-0.008782,-0.008794,10883229300.00,500,10989330100.00,500,1225.35,-0.009450
2001/06/25,-0.005565,-0.005565,-0.003856,-0.003856,10829450800.00,500,10876276400.00,500,1218.60,-0.005509
2001/06/26,-0.001503,-0.001503,0.002873,0.002873,10813177100.00,500,10829450800.00,500,1216.76,-0.001510
2001/06/27,-0.004428,-0.004555,-0.000320,-0.000481,10763920900.00,500,10813177100.00,500,1211.07,-0.004676
2001/06/28,0.012857,0.012847,0.011559,0.011545,10911444400.00,500,10773041400.00,500,1226.20,0.012493
2001/06/29,-0.001906,-0.001906,0.006276,0.006276,10894556800.00,500,10911444400.00,500,1224.42,-0.001452
2001/07/02,0.010258,0.010257,0.005322,0.005320,11006384400.00,500,10898042500.00,500,1236.71,0.010037
2001/07/03,-0.001440,-0.001606,-0.001709,-0.001789,10988712500.00,500,11006384400.00,500,1234.45,-0.001827
2001/07/05,-0.012378,-0.012572,-0.007875,-0.007952,10850567000.00,500,10988712500.00,500,1219.24,-0.012321
2001/07/06,-0.023329,-0.023535,-0.022030,-0.022127,10595203900.00,500,10850567000.00,500,1190.59,-0.023498
2001/07/09,0.006846,0.006830,0.004652,0.004646,10687750600.00,500,10637209800.00,500,1198.78,0.006879
2001/07/10,-0.014177,-0.014227,-0.013597,-0.013626,10535699700.00,500,10687750600.00,500,1181.52,-0.014398
2001/07/11,-0.001062,-0.001132,0.000891,0.000822,10523987200.00,500,10535699700.00,500,1180.18,-0.001134
2001/07/12,0.023841,0.023832,0.023567,0.023545,10774795000.00,500,10523987200.00,500,1208.14,0.023691
2001/07/13,0.006271,0.006263,0.004935,0.004902,10842278000.00,500,10774795000.00,500,1215.68,0.006241
2001/07/16,-0.010901,-0.010902,-0.012950,-0.012982,10724074800.00,500,10842278000.00,500,1202.45,-0.010883
2001/07/17,0.010105,0.010105,0.007914,0.007914,10832446400.00,500,10724074800.00,500,1214.44,0.009971
2001/07/18,-0.005220,-0.005294,-0.004384,-0.004428,10775104300.00,500,10832446400.00,500,1207.71,-0.005542
2001/07/19,0.005874,0.005870,0.006928,0.006918,10838359400.00,500,10775104300.00,500,1215.02,0.006053
2001/07/20,-0.003578,-0.003578,-0.005061,-0.005061,10799579000.00,500,10838359400.00,500,1210.85,-0.003432
2001/07/23,-0.016416,-0.016416,-0.013221,-0.013221,10622297400.00,500,10799579000.00,500,1191.03,-0.016369
2001/07/24,-0.016269,-0.016279,-0.018066,-0.018072,10449379000.00,500,10622297400.00,500,1171.65,-0.016272
2001/07/25,0.015906,0.015906,0.014995,0.014995,10615617000.00,500,10449379000.00,500,1190.49,0.016080
2001/07/26,0.010376,0.010357,0.013684,0.013633,10725566400.00,500,10615617000.00,500,1202.93,0.010449
2001/07/27,0.002480,0.002411,0.002847,0.002772,10751676100.00,500,10725566400.00,500,1205.82,0.002402
2001/07/30,-0.001052,-0.001090,-0.000252,-0.000339,10739960500.00,500,10751676100.00,500,1204.52,-0.001078
2001/07/31,0.005557,0.005550,0.005768,0.005741,10796170700.00,500,10739960500.00,500,1211.23,0.005571
2001/08/01,0.003961,0.003839,0.005167,0.005063,10838300200.00,500,10796170700.00,500,1215.93,0.003880
2001/08/02,0.004196,0.004090,0.004278,0.004208,10882626500.00,500,10838300200.00,500,1220.75,0.003964
2001/08/03,-0.004970,-0.005039,-0.004099,-0.004175,10836249100.00,500,10875188700.00,500,1214.35,-0.005243
2001/08/06,-0.011432,-0.011458,-0.010827,-0.010850,10712998100.00,500,10837168900.00,500,1200.48,-0.011422
2001/08/07,0.003412,0.003374,0.000411,0.000387,10747889000.00,500,10717495200.00,500,1204.40,0.003265
2001/08/08,-0.017197,-0.017336,-0.017418,-0.017566,10561561800.00,500,10747889000.00,500,1183.53,-0.017328
2001/08/09,0.000115,-0.000078,0.000089,0.000002,10560593400.00,500,10561561800.00,500,1183.43,-0.000084
2001/08/10,0.005657,0.005650,0.004541,0.004519,10621297800.00,500,10560593400.00,500,1190.16,0.005687
2001/08/13,0.000993,0.000889,0.004325,0.004187,10630738300.00,500,10621297800.00,500,1191.29,0.000949
2001/08/14,-0.003823,-0.003850,-0.000570,-0.000640,10589808000.00,500,10630738300.00,500,1186.73,-0.003828
2001/08/15,-0.007176,-0.007370,-0.006678,-0.006803,10511763400.00,500,10589808000.00,500,1178.02,-0.007339
2001/08/16,0.003016,0.002982,0.003149,0.003081,10543112800.00,500,10511763400.00,500,1181.66,0.003090
2001/08/17,-0.016517,-0.016575,-0.013155,-0.013180,10368356400.00,500,10543112800.00,500,1161.97,-0.016663
