tickers,Symbol,MarketCap,Sector,Industry
CPRT,CPRT,13666504032.0,Consumer Durables,Automotive Aftermarket
CR,CR,5054358656.1,Capital Goods,Metal Fabrications
CRM,CRM,125865450000.0,Technology,Computer Software: Prepackaged Software
CSCO,CSCO,226308244879.56,Technology,Computer Communications Equipment
CSX,CSX,59092420016.7,Transportation,Railroads
CTAS,CTAS,21781720523.25,Consumer Non-Durables,Apparel
CTB,CTB,1616877609.57,Consumer Durables,Automotive Aftermarket
CTL,CTL,14016150731.9,Public Utilities,Telecommunications Equipment
CTSH,CTSH,41481910705.75,Technology,EDP Services
CTXS,CTXS,13968207331.32,Technology,Computer Software: Prepackaged Software
CVH,,,,
CVS,CVS,75173662520.4,Health Care,Medical/Nursing Services
CVX,CVX,233171796249.07,Energy,Integrated oil Companies
CXO,CXO,22269971636.64,Energy,Oil & Gas Production
CZR,CZR,6007505010.0,Consumer Services,Hotels/Resorts
D,D,60435342223.29,Public Utilities,Electric Utilities: Central
DAL,DAL,33241396798.08,Transportation,Air Freight/Delivery Services
DAN,DAN,2824338055.8,Capital Goods,Auto Parts:O.E.M.
DDS,DDS,1996381761.0,Consumer Services,Department/Specialty Retail Stores
DE,DE,52239707971.64,Capital Goods,Industrial Machinery/Components
DELL,DELL,40699320373.25,Technology,Computer Manufacturing
DF,DF,359204051.46,Consumer Non-Durables,Packaged Foods
DFS,DFS,23591298516.48,Finance,Finance: Consumer Services
DG,DG,31414677554.5,Consumer Services,Department/Specialty Retail Stores
DGX,DGX,11601559372.88,Health Care,Medical Specialities
DHI,DHI,14481348593.6,Capital Goods,Homebuilding
DHR,DHR,89678612191.8,Capital Goods,Industrial Machinery/Components
DIS,DIS,169963458749.63,Consumer Services,Television Services
DISCA,DISCA,15223386601.16,Consumer Services,Television Services
DISH,DISH,15079906637.95,Consumer Services,Television Services
DLPH,DLPH,1944155385.36,Capital Goods,Auto Parts:O.E.M.
DLR,DLR,23666701460.4,Consumer Services,Real Estate Investment Trusts
DLTR,DLTR,22930785441.96,Consumer Services,Department/Specialty Retail Stores
DLX,DLX,2060966000.0,Consumer Durables,Publishing
DNB,,,,
DNR,DNR,888677584.51,Energy,Oil & Gas Production
DO,DO,1340023941.75,Energy,Oil & Gas Production
DOV,DOV,13186697607.6,Technology,Industrial Machinery/Components
DRE,DRE,10552503561.7,Consumer Services,Real Estate Investment Trusts
DRI,DRI,13789788447.05,Consumer Services,Restaurants
DTE,DTE,22358420886.5,Public Utilities,Electric Utilities: Central
