date,ticker,dailySpread
20090519,SII,0.00035823
20090519,SIVB,0.00236314
20090519,SJM,0.00049128
20090519,SLB,
20090519,SLE,0.00000000
20090519,SLG,0.00561272
20090519,SNA,0.00098994
20090519,SNDK,0.00069276
20090519,SNI,0.00069614
20090519,SNPS,0.00140417
20090519,SNS,0.00201613
20090519,SNSTA,0.06027397
20090519,SNV,0.00000000
20090519,SO,0.00071480
20090519,SPG,0.00118906
20090519,SPLS,0.00049322
20090519,SRCL,0.00038528
20090519,SRE,0.00065956
20090519,SSP,0.01591512
20090519,STI,0.00131062
20090519,STJ,0.00191074
20090519,STR,0.00029082
20090519,STT,0.00023124
20090519,STX,0.00123381
20090519,STZ,0.00081070
20090519,SVU,0.00062325
20090519,SWK,0.00420109
20090519,SWKS,0.00110314
20090519,SWN,0.00049542
20090519,SWY,0.00051295
20090519,SYK,
20090519,SYMC,0.00064746
20090519,SYY,0.00085616
20090519,T,0.00040560
20090519,TAP,0.00023018
20090519,TCX,0.02531646
20090519,TDC,0.00145455
20090519,TDG,0.00027728
20090519,TE,0.00088849
20090519,TEL,0.00451722
20090519,TER,0.00152788
20090519,TEX,0.00062325
20090519,TFX,0.00045137
20090519,TGT,0.00047699
20090519,THC,0.00361664
20090519,TIE,0.00112296
20090519,TIF,0.00036623
20090519,TIN,0.00164474
20090519,TJX,0.00447120
20090519,TKR,0.00059014
20090519,TLAB,0.00382409
20090519,TMK,0.00329038
20090519,TMO,0.00306108
20090519,TNB,0.00096262
20090519,TROW,0.00102854
20090519,TRV,0.00076171
20090519,TSCO,0.00131735
20090519,TSN,0.00152091
20090519,TSO,0.00291800
20090519,TSS,0.00152555
20090519,TTWO,0.00110072
20090519,TUP,0.00041059
20090519,TWC,0.00185242
20090519,TWX,0.00124818
20090519,TXN,0.00110803
20090519,TXT,0.00083857
20090519,TYC,0.00036826
20090519,UA,0.00044553
20090519,UAUA,0.00194742
20090519,UDR,0.00098184
20090519,UHS,0.00076453
20090519,UIS,0.00754717
20090519,ULTA,0.00224972
20090519,UN,0.00000000
20090519,UNH,0.00036476
20090519,UNM,0.00000000
20090519,UNP,0.00020784
20090519,UPS,
20090519,URBN,0.00050671
20090519,URI,0.00197824
20090519,USB,0.00158856
20090519,UTX,
20090519,V,0.00108116
20090519,VAR,0.00085531
20090519,VFC,0.00017939
20090519,VIA,0.00047226
20090519,VLO,0.00093067
20090519,VMC,0.00023205
20090519,VNO,
20090519,VRSN,0.00043039
20090519,VRTX,0.00068190
20090519,VTR,0.00035143
20090519,VZ,0.00033755
20090519,WAG,0.00000000
20090519,WAT,0.00222519
20090519,WCG,0.00109469
20090519,WDC,0.00040992
20090519,WEC,0.00211082
20090519,WFC,0.00039116
20090519,WFMI,0.00149888
20090519,WFT,0.00051560
20090519,WHR,0.00117275
20090519,WIN,0.00118413
20090519,WINN,0.00069906
20090519,WLP,0.00106349
20090519,WMB,0.00062402
20090519,WMI,0.00070053
20090519,WMT,0.00060747
20090519,WOR,0.00149477
20090519,WPI,0.00510041
20090519,WPO,0.00658911
20090519,WR,0.00057854
20090519,WSH,0.00156250
20090519,WU,0.00060114
20090519,WY,0.00448363
20090519,WYE,0.00089847
20090519,WYN,0.00175131
20090519,WYNN,0.00124922
20090519,X,0.00033383
20090519,XEC,0.00097959
20090519,XEL,0.00230681
20090519,XL,0.00099651
20090519,XLNX,0.00050878
20090519,XOM,
20090519,XRAY,0.00033676
20090519,XRX,0.00296296
20090519,XTO,0.00286670
20090519,YUM,
20090519,ZION,0.00000000
20090519,ZMH,0.00000000
