date,ticker,avgSpread30Days
20071031,BR,0.00204561
20071031,TNB,0.00146862
20071031,LNX,0.00837598
20071031,DLR,0.00136960
20071031,VRTX,0.00096309
20071031,CPB,0.00086665
20071031,PCG,0.00145247
20071031,CNC,0.00158453
20071031,RF,0.00273345
20071031,ESRX,0.00072245
20071031,REG,0.00120401
20071031,SRCL,0.00100998
20071031,GE,0.00051907
20071031,DGX,0.00099056
20071031,DISCA,0.00095375
20071031,ADM,0.00059859
20071031,UIS,0.00226493
20071031,ZION,0.00054402
20071031,NAVI,0.00285166
20071031,TWC,0.00220754
20071031,BHI,0.00063789
20071031,GLBC,0.00172971
20071031,MTD,0.00078414
20071031,AEE,0.00131435
20071031,AIZ,0.00251828
20071031,XLNX,0.00066104
20071031,WEC,0.00153488
20071031,MDR,0.00153242
20071031,COP,0.00063298
20071031,SGP,0.00052554
20071031,TDG,0.00208338
20071031,ASH,0.00091750
20071031,HRB,0.00091978
20071031,DELL,0.00056585
20071031,NVDA,0.00072081
20071031,CVG,0.00129271
20071031,JPM,0.00112428
20071031,NTRS,0.00047254
20071031,IMS,0.00523827
20071031,PAYX,0.00066985
20071031,GCI,0.00064102
20071031,LLL,0.00065768
20071031,URBN,0.00118637
20071031,AYI,0.00168430
20071031,IRM,0.00108140
20071031,PVH,
20071031,GILD,0.00067170
20071031,CSC,0.00188141
20071031,HCBK,0.00095321
20071031,AME,0.00122606
20071031,CAH,0.00129430
20071031,MCHP,0.00068321
20071031,AKS,0.00135787
20071031,POM,0.00240058
20071031,STT,0.00067478
20071031,WMI,0.00129660
20071031,ADI,0.00135172
20071031,APOL,0.00065210
20071031,SCG,0.00108438
20071031,TWX,0.00113945
20071031,GPN,0.00150842
20071031,ARG,0.00068805
20071031,MGM,0.00244588
20071031,ETN,0.00061306
20071031,WYE,0.00062580
20071031,MFE,0.00188411
20071031,MHK,0.00193877
20071031,BIIB,
20071031,TFX,0.00082131
20071031,OKE,0.00117632
20071031,AGN,0.00178807
20071031,YUM,0.00095516
20071031,LIZ,0.00087739
20071031,ETR,0.00072957
20071031,KSU,
20071031,CTAS,0.00072332
20071031,WYNN,0.00124751
20071031,EP,0.00180465
20071031,AOC,0.00141321
20071031,WDC,0.00090972
20071031,KG,0.00228916
20071031,BCR,0.00070283
20071031,JKHY,0.00099228
20071031,CB,0.00203250
20071031,XL,0.00062669
20071031,AMT,0.00098875
20071031,HMA,0.00201876
20071031,PXD,
20071031,PWER,0.00307142
20071031,SNS,0.00169551
20071031,MAS,0.00075339
20071031,BMY,0.00088978
20071031,LLTC,0.00050944
20071031,DISH,0.00058172
20071031,LTD,0.00087021
20071031,KMB,0.00182959
20071031,DAL,0.00138178
20071031,CSCO,0.00047266
20071031,PDCO,0.00073379
20071031,TE,0.00171594
20071031,DIS,0.00066548
20071031,DF,0.00079930
20071031,LLY,0.00092052
20071031,TDC,
20071031,TEX,0.00106377
20071031,ALB,0.00246876
20071031,PNW,0.00111554
20071031,AFL,0.00097779
20071031,BXP,0.00248710
20071031,EIX,0.00127228
20071031,MHP,0.00085915
20071031,NKE,0.00092161
20071031,CF,0.00291846
20071031,PNR,0.00133651
20071031,BDK,0.00105907
20071031,UNP,0.00285932
20071031,TRV,0.00110595
20071031,EQR,0.00323585
20071031,PLMD,0.00044273
20071031,MSCS,0.00190669
20071031,HANS,0.00086100
20071031,HD,0.00049192
20071031,LUV,0.00107011
20071031,SLB,0.00067762
